Ник,Имя,Страна,Команда,Дата рождения,Призовые за карьеру,Расса
Crow,Clément Dumont,FR,against All authority,,1552,Zerg
EnigmA,Владимир Егоров,RU,,,1155,Protoss
threepoint,,KR,Genesis Gaming,,20,Zerg
Ryan,Ryan Gast,US,PSISTORM Gaming,,962,Protoss
Dolan,Paul Dolan,US,,1998-07-24,2309,Terran
Awers,Олексій Чістяков,UA,Harbingers,,1514,Terran
SpeeD,박근일,KR,,1996-06-27,6071,Terran
Rhizer,Rohin Gulati,US,Team Super,2000-05-25,1505,Protoss
CreamCake,Tin Trung Duong,NO,,,957,Terran
duckdeok,김경덕,KR,,1995-01-27,51576,Protoss
YongHwa,최용화,KR,,1992-01-30,30988,Protoss
Creed,Андрей Романов,RU,,,997,Terran
ExpecT,,TW,,,22728,Terran
Marsman,Vlad Popescu,NL,Dominaticus Esports,,3871,Protoss
HolyHit,Keanu-Rico Brueggemann,DE,,,207,Protoss
FIGARO,Jasha Birrell,UK,,,772,Zerg
MaFia,Timothy He,AU,,,13346,Zerg
BabyMarine,Andrea Romiti,IT,Team Rotti,2005-07-01,670,Terran
eMotion,이제현,KR,,1995-08-01,5085,Protoss
Fuzer,Samuli Romppanen,FI,,1989-05-25,3480,Terran
mOOnGLaDe,Andrew Pender,AU,,1986-07-14,34326,Zerg
domickc,,KR,,,400,Protoss
ScaM,Gabriel De Moura,FR,Orbital Colossus,,1771,Zerg
Couguar,Виталий Рощин,RU,3D!Clan,,6911,Protoss
SpellSinger,Пётр Умников,RU,,,254,Protoss
HaNfy,Fabian Kattner,DE,,1989-08-14,10733,Zerg
Garitos,Sullyvan Yonnet,FR,ePunks,,943,Zerg
ValuE,김용진,KR,,1994-10-04,621,Protoss
Sound,배상환,KR,,1993-12-24,7494,Terran
Misaki,,CN,,,1504,Zerg
Ryosis,Alessandro Rossi,IT,PSISTORM Gaming,,153,Zerg
Oz,김학수,KR,,1989-04-23,73593,Protoss
Miniraser,Viktor Malmberg,SE,,1994-10-20,7214,Zerg
MasTeR,Lucas Coimbra,BR,ExcerituS Ignot,,205,Protoss
Revival,김동현,KR,,1992-01-31,59678,Zerg
JungleKing,Александр Оболинский,RU,,,81,Terran
Healer,,RU,,,86,Terran
qxc,Kevin Riley,US,,1989-10-11,26583,Terran
